product,console,variant,type,market_price,old_price,new_price,diff,profit,status
Aladdin - Gameboy Color Game,Gameboy Color,complete (cib),cib,66.20,22.63,89.99,67.36,20.88,APPLIED
Aladdin - Gameboy Game,Gameboy,complete (cib),cib,125.11,16.34,168.99,152.65,38.68,APPLIED
Aladdin - GBA Game,Gameboy Advance,complete (cib),cib,128.30,88.68,173.99,85.31,40.34,APPLIED
Aladdin - Sega Genesis Game,Sega Genesis,complete (cib),cib,19.95,14.37,26.99,12.62,5.96,APPLIED
Aladdin - SNES Game,SNES,,,,,,,,NO_MATCH
Alex Kidd in Miracle World - Sega Master System Game,Sega Master System,game only,loose,26.90,36.24,36.99,0.75,8.72,APPLIED
Alex Kidd in Miracle World - Sega Master System Game,Sega Master System,complete (cib),cib,57.98,36.24,78.99,42.75,18.42,APPLIED
Alex Kidd in Shinobi World - Sega Master System Game,Sega Master System,game only,loose,64.63,137.03,87.99,-49.04,20.51,APPLIED
Alex Kidd in Shinobi World - Sega Master System Game,Sega Master System,complete (cib),cib,162.20,137.03,218.99,81.96,50.14,APPLIED
Alex Rider Stormbreaker - GBA Game,Gameboy Advance,complete (cib),cib,12.01,5.42,16.99,11.57,4.19,APPLIED
Alf - Sega Master System Game,Sega Master System,,,,,,,,NO_MATCH
Alfred Chicken - Gameboy Game,Gameboy,complete (cib),cib,146.13,23.19,197.99,174.80,45.82,APPLIED
Alias - PS2 Game,Playstation 2,game only,loose,7.99,11.99,10.99,-1.00,2.38,APPLIED
Alias - PS2 Game,Playstation 2,complete (cib),cib,8.51,12.99,11.99,-1.00,2.83,APPLIED
Alien 3 - SNES Game,SNES,,,,,,,,NO_MATCH
Alien Hominid - Gamecube Game,Gamecube,,,,,,,,NO_MATCH
Alien Hominid - PS2 Game,Playstation 2,game only,loose,26.69,60.99,36.99,-24.00,8.93,APPLIED
Alien Hominid - PS2 Game,Playstation 2,complete (cib),cib,35.00,36.48,47.99,11.51,11.30,APPLIED
Alien Monster Bowling League - Wii Game,Wii,,,,,,,,NO_MATCH
Alien Storm - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Alien Syndrome - NES Game,NES,,,,,,,,NO_MATCH
Alien Trilogy - PS1 Game,Playstation,complete (cib),cib,31.84,43.99,42.99,-1.00,9.60,APPLIED
Alien vs Predator - SNES Game,SNES,,,,,,,,NO_MATCH
Alienators Evolution Continues - GBA Game,Gameboy Advance,game only,loose,6.03,4.22,8.99,4.77,2.40,APPLIED
Alienators Evolution Continues - GBA Game,Gameboy Advance,complete (cib),cib,23.22,4.22,31.99,27.77,7.54,APPLIED
Aliens Thanatos Encounter - Gameboy Color Game,Gameboy Color,complete (cib),cib,193.12,47.17,260.99,213.82,60.00,APPLIED
Aliens vs. Predator Requiem - PSP Game,PSP,complete (cib),cib,21.24,15.98,28.99,13.01,6.61,APPLIED
Alisia Dragoon - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,complete (cib),cib,16.07,7.24,21.99,14.75,4.98,APPLIED
All-Star Baseball 2001 - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
All-Star Baseball 2002 - PS2 Game,Playstation 2,game only,loose,2.58,9.99,3.99,-6.00,0.99,APPLIED
All-Star Baseball 2002 - PS2 Game,Playstation 2,complete (cib),cib,5.19,11.99,7.99,-4.00,2.27,APPLIED
All-Star Baseball 2003 - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
All-Star Baseball 2004 - PS2 Game,Playstation 2,game only,loose,4.34,4.99,5.99,1.00,1.18,APPLIED
All-Star Baseball 2004 - PS2 Game,Playstation 2,complete (cib),cib,6.51,7.03,8.99,1.96,1.92,APPLIED
All-Star Baseball 2004 - Xbox Game,Xbox,,,,,,,,NO_MATCH
All-Star Baseball 2005 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
All-Star Baseball 2005 - Xbox Game,Xbox,,,,,,,,NO_MATCH
All-Star Karate - Wii Game,Wii,,,,,,,,NO_MATCH
All-Star Racing - PS1 Game,Playstation,,,,,,,,NO_MATCH
