product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
Hammerin' Hero - PSP Game,PSP,ebay(3),79.98,142.99,186.99,2.34,APPLIED,diff=44.0
Hannspree Ten Kate Honda SBK Superbike World Championship - PSP Game,PSP,synthetic_ratio_repair(ebay_was_8.50),10.99,11.99,19.99,1.82,APPLIED,diff=8.0
Hardcore Pinball - GBA Game,Gameboy Advance,synthetic_ratio_repair,23.16,40.99,41.99,1.81,APPLIED,diff=1.0
Harley Davidson Race Across America - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,14.04,24.99,25.99,1.85,APPLIED,diff=1.0
Harry Potter Sorcerers Stone - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_18.83),107.90,193.99,194.99,1.81,APPLIED,diff=1.0
Harvest Moon Save the Homeland - PS2 Game,Playstation 2,synthetic_ratio_repair,15.98,27.99,28.99,1.81,APPLIED,diff=1.0
Heatseeker - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_6.75),9.50,16.99,17.99,1.89,APPLIED,diff=1.0
Heavy Shreddin' - NES Game,NES,ebay(10),12.99,15.99,50.99,3.93,APPLIED,diff=35.0
High Rollers Casino - PS2 Game,Playstation 2,synthetic_ratio_repair,6.14,10.99,11.99,1.95,APPLIED,diff=1.0
High Stakes - Gameboy Game,Gameboy,synthetic_ratio_repair,13.99,16.99,25.99,1.86,APPLIED,diff=9.0
Home Alone 2 Lost In New York - SNES Game,SNES,synthetic_outlier_guard(ebay_was_45.99_n=5),12.99,25.99,23.99,1.85,APPLIED,diff=-2.0
Home Improvement - SNES Game,SNES,ebay(5),129.99,198.99,422.99,3.25,APPLIED,diff=224.0
Hooters Road Trip - PS1 Game,Playstation,synthetic_ratio_repair,15.20,26.99,27.99,1.84,APPLIED,diff=1.0
IGPX - PS2 Game,Playstation 2,synthetic_ratio_repair,37.75,66.99,67.99,1.80,APPLIED,diff=1.0
Illusion of Gaia - SNES Game,SNES,ebay(32),37.99,76.99,164.99,4.34,APPLIED,diff=88.0
Indiana Jones and the Last Crusade - Sega Genesis Game,Sega Genesis,ebay(9),52.99,43.99,74.99,1.42,APPLIED,diff=31.0
Indiana Jones Infernal Machine - Nintendo 64 Game,Nintendo 64,synthetic_ratio_repair,130.50,233.99,234.99,1.80,APPLIED,diff=1.0
Instruments of Chaos Starring Young Indiana Jones - Sega Genesis Game,Sega Genesis,ebay(6),18.99,31.99,41.99,2.21,APPLIED,diff=10.0
International Superstar Soccer Deluxe - SNES Game,SNES,ebay(7),173.99,147.99,471.99,2.71,APPLIED,diff=324.0
Iron Helix - Sega CD Game,Sega CD,ebay(6),24.99,72.99,43.99,1.76,APPLIED,diff=-29.0
