id	custom_label_0	custom_label_2
shopify_ZZ_7956606451746_43794680774690	20_to_50	game
shopify_ZZ_7956606484514_43794759090210	under_20	game
shopify_ZZ_7956606484514_43794680741922	under_20	game
shopify_ZZ_7956606517282_43794759417890	under_20	game
shopify_ZZ_7956606517282_43794680709154	under_20	game
shopify_ZZ_7956606550050_43794759188514	under_20	game
shopify_ZZ_7956606550050_43794680676386	under_20	game
shopify_ZZ_7956606582818_43794759221282	under_20	game
shopify_ZZ_7956606582818_43794680643618	under_20	game
shopify_ZZ_7956606615586_43794759122978	under_20	game
shopify_ZZ_7956606615586_43794680610850	under_20	game
shopify_ZZ_7956606648354_43794759155746	under_20	game
shopify_ZZ_7956606648354_43794680578082	under_20	game
shopify_ZZ_7956606681122_43794759254050	under_20	game
shopify_ZZ_7956606681122_43794680545314	under_20	game
shopify_ZZ_7956606713890_43794759286818	under_20	game
shopify_ZZ_7956606713890_43794680512546	under_20	game
shopify_ZZ_7956606746658_43794759319586	under_20	game
shopify_ZZ_7956606746658_43794680479778	under_20	game
shopify_ZZ_7956606779426_43794759352354	over_50	game
shopify_ZZ_7956606779426_43794680447010	over_50	game
shopify_ZZ_7956606812194_43794759385122	under_20	game
shopify_ZZ_7956606812194_43794680414242	under_20	game
shopify_ZZ_7956606844962_43794759450658	under_20	game
shopify_ZZ_7956606844962_43794680381474	under_20	game
shopify_ZZ_7956606877730_43794759483426	under_20	game
shopify_ZZ_7956606877730_43794680348706	under_20	game
shopify_ZZ_7956606910498_43794759516194	under_20	game
shopify_ZZ_7956606910498_43794680315938	under_20	game
shopify_ZZ_7956606943266_43794759548962	20_to_50	game
shopify_ZZ_7956606943266_43794680283170	20_to_50	game
shopify_ZZ_7956606976034_43794759581730	under_20	game
shopify_ZZ_7956606976034_43794680250402	under_20	game
shopify_ZZ_7956607008802_43794759614498	under_20	game
shopify_ZZ_7956607008802_43794680217634	under_20	game
shopify_ZZ_7956607041570_43794759647266	under_20	game
shopify_ZZ_7956607041570_43794680184866	under_20	game
shopify_ZZ_7956607074338_43794759680034	under_20	game
shopify_ZZ_7956607074338_43794680152098	under_20	game
shopify_ZZ_7956607107106_43794759745570	over_50	game
shopify_ZZ_7956607107106_43794680119330	over_50	game
shopify_ZZ_7956607139874_43794759712802	20_to_50	game
shopify_ZZ_7956607139874_43794680086562	20_to_50	game
shopify_ZZ_7956607172642_43794759811106	under_20	game
shopify_ZZ_7956607172642_43794680053794	under_20	game
shopify_ZZ_7956607205410_43794759843874	under_20	game
shopify_ZZ_7956607205410_43794680021026	under_20	game
